unix timestamp	doserate (uSv/h)	lat	lng	horizontal accuracy (radius of 68% confidence [m])	marker type (2-circle, 1-marker)	SE (1 Пѓ)[%]
1563525437	0.2032	53.664852142	37.133472443	6	2	13.сен
1563525447	0.3215	53.664848328	37.133529663	7	2	11.авг
1563525450	0.4064	53.664848328	37.133583069	6	2	10.май
1563525453	0.3171	53.664867401	37.133590698	7	2	12.июн
1563525455	0.4064	53.664886475	37.133583069	7	2	10.май
1563525457	0.3260	53.664909363	37.133575439	8	2	12.0
1563525458	0.3707	53.664920807	37.133556366	8	2	11.0
1563525463	0.3215	53.664913177	37.133506775	7	2	11.авг
1563525469	0.3416	53.664909363	37.133460999	8	2	11.сен
1563525478	0.2322	53.664897919	37.133491516	6	2	14.июн
1563525487	0.3975	53.664920807	37.133510590	5	2	10.июн
1563525489	0.3171	53.664939880	37.133502960	7	2	12.янв
1563525493	0.3126	53.664974213	37.133480072	6	2	12.0
1563525497	0.3707	53.664997101	37.133472443	7	2	11.0
1563525501	0.3215	53.665012360	37.133426666	8	2	11.авг
1563525505	0.3081	53.664974213	37.133419037	7	2	12.фев
1563525511	0.2568	53.664947510	37.133392334	8	2	13.июл
1563525515	0.2657	53.664932251	37.133384705	8	2	13.май
1563525665	0.3394	53.664951324	37.133388519	14	2	11.авг
1563525685	0.2657	53.664924622	37.133327484	15	2	13.июл
1563525694	0.2545	53.664924622	37.133293152	18	2	13.май
1563525701	0.3305	53.664932251	37.133354187	17	2	12.янв
1563525715	0.2813	53.664913177	37.133361816	11	2	12.июл
1563525723	0.2769	53.664916992	37.133396149	17	2	13.янв
1563525747	0.2679	53.664916992	37.133335114	15	2	13.янв
1563525789	0.3081	53.664943695	37.133365631	13	2	12.май
1563525804	0.2568	53.664924622	37.133350372	12	2	13.июл
1563525815	0.2322	53.664962769	37.133369446	22	2	14.0
1563525817	0.2769	53.664939880	37.133304596	15	2	12.июн
1563525831	0.3394	53.664932251	37.133338928	13	2	11.авг
1563525847	0.2746	53.664920807	37.133384705	16	2	12.сен
1563525905	0.3081	53.664939880	37.133449554	33	2	12.апр
1563525911	0.3193	53.664981842	37.133449554	26	2	12.фев
1563525913	0.3394	53.664958954	37.133438110	29	2	11.май
1563525920	0.1898	53.664978027	37.133426666	25	2	14.июл
1563525927	0.3037	53.664943695	37.133399963	22	2	12.сен
1563525929	0.2679	53.664913177	37.133399963	19	2	12.июн
1563525949	0.3305	53.664962769	37.133487701	30	2	12.янв
1563525973	0.2813	53.664928436	37.133434296	15	2	13.фев
1563525982	0.2590	53.664913177	37.133396149	22	2	13.май
1563526003	0.3349	53.664997101	37.133460999	46	2	11.май
1563526011	0.3305	53.664932251	37.133388519	40	2	12.янв
1563526019	0.2478	53.664947510	37.133373260	35	2	14.янв
1563526041	0.2657	53.664882660	37.133472443	58	2	13.янв
1563526045	0.3305	53.664909363	37.133369446	39	2	11.июн
1563526085	0.2702	53.664897919	37.133411407	14	2	12.сен
1563526093	0.2791	53.664905548	37.133380890	14	2	12.сен
1563526147	0.2836	53.664932251	37.133434296	44	2	12.июл
1563526149	0.3349	53.664970398	37.133441925	42	2	11.авг
1563526151	0.2679	53.664939880	37.133518219	48	2	13.0
1563526155	0.3327	53.664916992	37.133392334	26	2	12.0
1563526159	0.3439	53.664928436	37.133354187	22	2	11.апр
1563526167	0.2612	53.664947510	37.133380890	24	2	13.фев
1563526169	0.2925	53.664955139	37.133415222	24	2	12.фев
1563526173	0.2412	53.664974213	37.133361816	22	2	13.0
1563526177	0.2412	53.664936066	37.133407593	38	2	14.янв
1563526187	0.3148	53.664920807	37.133422852	25	2	11.май
1563526199	0.3394	53.664936066	37.133388519	21	2	11.май
1563526211	0.2724	53.664924622	37.133358002	10	2	12.апр
1563526853	0.3148	53.664928436	37.133399963	11	2	11.сен
1563526867	0.3126	53.664947510	37.133377075	11	2	12.0
1563527064	0.2412	53.664848328	37.133396149	27	2	13.фев
1563527364	0.3171	53.664970398	37.133274078	29	2	12.мар
1563527405	0.3148	53.664939880	37.133312225	12	2	12.июн
1563527425	0.2724	53.665008545	37.133407593	28	2	12.авг
1563527442	0.2367	53.664955139	37.133358002	10	2	13.0
1563527866	0.3305	53.664993286	37.133304596	9	2	11.июн
1563527876	0.2523	53.665039063	37.133304596	22	2	13.май
1563527878	0.2791	53.665019989	37.133293152	24	2	12.июл
1563527892	0.2635	53.665039063	37.133277893	24	2	12.сен
1563527894	0.3059	53.665058136	37.133258820	24	2	12.фев
1563527906	0.2724	53.665107727	37.133232117	23	2	13.июл
1563527918	0.2478	53.665161133	37.133232117	26	2	13.фев
1563528046	0.2478	53.665031433	37.133312225	10	2	13.май
1563528072	0.2679	53.664993286	37.133323669	8	2	12.авг
1563528085	0.2590	53.665023804	37.133193970	36	2	13.янв
1563528087	0.3037	53.665058136	37.133335114	37	2	12.мар
1563528091	0.2590	53.664985657	37.133285522	37	2	13.0
1563528095	0.3148	53.665012360	37.133285522	22	2	11.апр
1563528171	0.2322	53.664951324	37.133445740	46	2	13.июн
1563528196	0.2635	53.665027618	37.133239746	11	2	13.0
1563528250	0.2702	53.664993286	37.133277893	7	2	12.авг
1563528397	0.3037	53.665019989	37.133308411	7	2	12.мар
1563528619	0.2389	53.664966583	37.133342743	34	2	13.июл
1563528663	0.2858	53.665058136	37.133342743	7	2	12.май
1563528920	0.3573	53.665031433	37.133300781	8	2	11.фев
1563528928	0.3662	53.664989471	37.133316040	6	2	11.0
1563528932	0.2478	53.664993286	37.133346558	6	2	13.сен
1563528980	0.2925	53.665016174	37.133358002	5	2	12.фев
1563528992	0.2412	53.665039063	37.133369446	6	2	14.0
1563528998	0.3394	53.665035248	37.133411407	5	2	11.май
1563529000	0.3394	53.665016174	37.133419037	6	2	11.май
1563529002	0.3104	53.665000916	37.133434296	6	2	12.фев
1563529004	0.3997	53.664993286	37.133464813	6	2	11.янв
1563529006	0.3573	53.664978027	37.133491516	6	2	11.авг
